연번,구분,시설명,주소,설치시설물,등록,데이터기준일자
261,동네체육시설,평림경로당 동네체육시설,광주광역시 광산구 본동로 94(명도동 270),동네체육시설,2019-06-07,2021-06-16
262,동네체육시설,삼도지동길 15 동네체육시설,광주광역시 광산구 삼도지동길 15(도덕동223-1),동네체육시설,2019-06-07,2021-06-16
263,동네체육시설,송정중앙교회 옆 동네체육시설,광주광역시 광산구 소촌동 755-5(송정중앙교회),동네체육시설,2019-12-24,2021-06-16
264,동네체육시설,가곡경로당 동네체육시설,광주광역시 광산구 용곡동 664(기곡경로당),동네체육시설,2019-12-24,2021-06-16
265,동네체육시설,가곡경로당 동네체육시설,광주광역시 광산구 용곡동 664(기곡경로당),동네체육시설,2020-01-20,2021-06-16
266,동네체육시설,선동마을 앞 동네체육시설,광주광역시 광산구 선동 720-3(모정),동네체육시설,2019-12-24,2021-06-16
267,동네체육시설,선동마을 앞 동네체육시설,광주광역시 광산구 선동 720-3(모정),동네체육시설,2020-01-20,2021-06-16
268,동네체육시설,신봉정경로당 동네체육시설,광주광역시 광산구 산막동 707(신봉정경로당),동네체육시설,2019-12-24,2021-06-16
269,동네체육시설,신봉정경로당 동네체육시설,광주광역시 광산구 산막동 707(신봉정경로당),동네체육시설,2020-01-20,2021-06-16
270,동네체육시설,장수경로당 동네체육시설,광주광역시 광산구 장수동 163(장수경로당),동네체육시설,2019-12-24,2021-06-16
271,동네체육시설,장수경로당 동네체육시설,광주광역시 광산구 장수동 163(장수경로당),동네체육시설,2020-01-20,2021-06-16
272,동네체육시설,월계동 라인7차 옆 동네체육시설,"광주광역시 광산구 월계동 761-7(라인7차, 우미2차 사이)",동네체육시설,2019-12-24,2021-06-16
